,depth below sea level (m),gamma ray
0,582.4700568,66.973
1,582.6224568000001,67.463
2,582.7748568000001,68.943
3,582.9272568,73.516
4,583.0796568,76.625
5,583.2320568000001,80.871
6,583.3844568000001,85.989
7,583.5368568,89.712
8,583.6892568,93.047
9,583.8416568000001,93.535
10,583.9940568000001,91.673
11,584.1464568,86.459
12,584.2988568,81.453
13,584.4512568000001,77.697
14,584.6036568000001,80.19
15,584.7560568,85.433
16,584.9084568,89.285
17,585.0608568000001,90.64
18,585.2132568000001,89.396
19,585.3656568,93.102
20,585.5180568,97.923
21,585.6704568000001,100.52
22,585.8228568000001,100.514
23,585.9752568,98.77
24,586.1276568,95.051
25,586.2800568000001,92.2
26,586.4324568000001,88.357
27,586.5848568,83.608
28,586.7372568,81.602
29,586.8896568000001,83.72
30,587.0420568000001,85.34
31,587.1944568,86.959
32,587.3468568,86.828
33,587.4992568000001,85.321
34,587.6516568000001,85.065
35,587.8040568,84.309
36,587.9564568,82.678
37,588.1088568000001,79.921
38,588.2612568000001,77.79
39,588.4136568,75.909
40,588.5660568,77.527
41,588.7184568000001,83.021
42,588.8708568000001,88.504
43,589.0232568,91.346
44,589.1756568,89.854
45,589.3280568000001,87.621
46,589.4804568000001,85.49
47,589.6328568,84.484
48,589.7852568,87.725
49,589.9376568000001,90.689
50,590.0900568000001,90.683
51,590.2424568,85.458
52,590.3948568,78.952
53,590.5472568000001,77.071
54,590.6996568000001,77.065
55,590.8520568,78.183
56,591.0044568,79.302
57,591.1568568000001,82.547
58,591.3092568000001,87.415
59,591.4616568,92.855
60,591.6140568,95.695
61,591.7664568000001,92.224
62,591.9188568000001,93.455
63,592.0712568,94.191
64,592.2236568,94.185
65,592.3760568000001,91.334
66,592.5284568000001,87.366
67,592.6808568,88.722
68,592.8332568,90.82
69,592.9856568000001,92.917
70,593.1380568000001,92.54
71,593.2904568,91.048
72,593.4428568,90.052
73,593.5952568000001,94.625
74,593.7476568000001,100.689
75,593.9000568,102.309
76,594.0524568,100.178
77,594.2048568000001,89.773
78,594.3572568000001,80.915
79,594.5096568,69.712
80,594.6620568,68.839
81,594.8144568000001,74.526
82,594.9668568000001,81.139
83,595.1192568,80.883
84,595.2716568,78.252
85,595.4240568000001,76.872
86,595.5764568000001,76.741
87,595.7288568,79.109
88,595.8812568,84.603
89,596.0336568000001,88.956
90,596.1860568000001,92.044
91,596.3384568,95.257
92,596.4908568,99.582
93,596.6432568000001,100.696
94,596.7956568000001,97.465
95,596.9480568,92.014
96,597.1004568,86.428
97,597.2528568000001,84.422
98,597.4052568000001,82.916
99,597.5576568,82.909
100,597.7100568,83.278
101,597.8624568000001,86.146
102,598.0148568000001,88.009
103,598.1672568,87.508
104,598.3196568,86.127
105,598.4720568000001,84.997
106,598.6244568000001,84.117
107,598.7768568,85.86
108,598.9292568,87.85
109,599.0816568000001,87.72
110,599.2340568000001,87.091
111,599.3864568,85.59
112,599.5388568,83.344
113,599.6912568000001,81.596
114,599.8436568000001,81.344
115,599.9960568,81.342
116,600.1484568,80.841
117,600.3008568000001,76.987
118,600.4532568000001,78.104
119,600.6056568,78.599
120,600.7580568,74.257
121,600.9104568000001,70.668
122,601.0628568000001,64.728
123,601.2152568,58.913
124,601.3676568,52.477
125,601.5200568000001,44.606
126,601.6724568000001,36.625
127,601.8248568,46.196
128,601.9772568,55.436
129,602.1296568000001,64.7
130,602.2820568000001,60.491
131,602.4344568,52.097
132,602.5868568,41.635
133,602.7392568000001,35.229
134,602.8916568000001,38.303
135,603.0440568,47.783
136,603.1964568,64.037
137,603.3488568000001,78.634
138,603.5012568000001,85.683
139,603.6536568,85.182
140,603.8060568,83.443
141,603.9584568000001,83.313
142,604.1108568000001,84.792
143,604.2632568,86.394
144,604.4156568,88.002
145,604.5680568000001,89.122
146,604.7204568000001,90.741
147,604.8728568,92.234
148,605.0252568,92.978
149,605.1776568000001,89.597
150,605.3300568000001,85.486
151,605.4824568,84.366
152,605.6348568,88.328
153,605.7872568000001,95.071
154,605.9396568000001,101.92
155,606.0920568,103.647
156,606.2444568,100.052
157,606.3968568000001,94.046
158,606.5492568000001,88.04
159,606.7016568,86.419
160,606.8540568,86.908
161,607.0064568000001,86.283
162,607.1588568000001,84.173
163,607.3112568,82.063
164,607.4636568,82.057
165,607.6160568000001,84.653
166,607.7684568000001,86.757
167,607.9208568,86.757
168,608.0732568,76.218
169,608.2256568000001,67.67
170,608.3780568000001,61.24
171,608.5304568,62.831
172,608.6828568,69.631
173,608.8352568000001,79.172
174,608.9876568000001,81.406
175,609.1400568,81.777
176,609.2924568,82.272
177,609.4448568000001,82.02
178,609.5972568000001,81.021
179,609.7496568,79.896
180,609.9020568,80.391
181,610.0544568000001,82.758
182,610.2068568000001,85.128
183,610.3592568,87.375
184,610.5116568,89.233
185,610.6640568000001,89.848
186,610.8164568000001,90.956
187,610.9688568,90.95
188,611.1212568,91.067
189,611.2736568000001,93.289
190,611.4260568000001,95.51
191,611.5784568,97.855
192,611.7308568,98.468
193,611.8832568000001,95.12
194,612.0356568000001,94.247
195,612.1880568,94.86
196,612.3404568,95.72
197,612.4928568000001,95.466
198,612.6452568000001,92.118
199,612.7976568,88.647
200,612.9500568,85.402
201,613.1024568000001,82.146
202,613.2548568000001,80.89
203,613.4072568,83.134
204,613.5596568,85.502
205,613.7120568000001,87.495
206,613.8644568000001,85.366
207,614.0168568,80.992
208,614.1692568,81.613
209,614.3216568000001,81.61
210,614.4740568000001,79.986
211,614.6264568,78.613
212,614.7788568,81.974
213,614.9312568000001,86.451
214,615.0836568000001,89.792
215,615.2360568,88.796
216,615.3884568,84.321
217,615.5408568000001,79.969
218,615.6932568000001,76.862
219,615.8456568,73.639
220,615.9980568,70.545
221,616.1504568000001,69.307
222,616.3028568000001,69.678
223,616.4552568,73.886
224,616.6076568,78.095
225,616.7600568000001,83.535
226,616.9124568000001,83.529
227,617.0648568,83.523
228,617.2172568,81.536
229,617.3696568000001,79.055
230,617.5220568000001,76.574
231,617.6744568,75.578
232,617.8268568,77.057
233,617.9792568000001,78.288
234,618.1316568000001,79.024
235,618.2840568,79.018
236,618.4364568,77.898
237,618.5888568000001,76.283
238,618.7412568000001,74.668
239,618.8936568,73.672
240,619.0460568,73.542
241,619.1984568000001,73.536
242,619.3508568000001,72.911
243,619.5032568,67.088
244,619.6556568,60.274
245,619.8080568000001,57.178
246,619.9604568000001,56.931
247,620.1128568,58.292
248,620.2652568,63.119
249,620.4176568000001,73.762
250,620.5700568000001,79.332
251,620.7224568,81.559
252,620.8748568,82.55
253,621.0272568000001,83.54
254,621.1796568000001,84.53
255,621.3320568,84.777
256,621.4844568,80.198
257,621.6368568000001,75.124
258,621.7892568000001,68.069
259,621.9416568,65.347
260,622.0940568,67.451
261,622.2464568000001,73.02
262,622.3988568000001,75.124
263,622.5512568,76.238
264,622.7036568,77.228
265,622.8560568000001,82.669
266,623.0084568000001,87.86
267,623.1608568,87.856
268,623.3132568,87.85
269,623.4656568000001,87.223
270,623.6180568000001,87.217
271,623.7704568,87.706
272,623.9228568,88.815
273,624.0752568000001,92.026
274,624.2276568000001,92.02
275,624.3800568,91.148
276,624.5324568,89.533
277,624.6848568000001,88.041
278,624.8372568000001,86.054
279,624.9896568,85.305
280,625.1420568,86.165
281,625.2944568000001,87.149
282,625.4468568000001,87.516
283,625.5992568,85.528
284,625.7516568,83.294
285,625.9040568000001,81.184
286,626.0564568000001,80.064
287,626.2088568,80.801
288,626.3612568,81.166
289,626.5136568000001,79.675
290,626.6660568000001,77.194
291,626.8184568,74.587
292,626.9708568,76.686
293,627.1232568000001,78.041
294,627.2756568000001,79.396
295,627.4280568,77.41
296,627.5804568,73.937
297,627.7328568000001,71.209
298,627.8852568000001,71.202
299,628.0376568,75.033
300,628.1900568,75.028
301,628.3424568000001,74.03
302,628.4948568000001,71.178
303,628.6472568,71.543
304,628.7996568,74.754
305,628.9520568000002,77.472
306,629.1044568000001,78.58
307,629.2568568,77.707
308,629.4092568,73.739
309,629.5616568000002,70.021
310,629.7140568000001,66.302
311,629.8664568,64.44
312,630.0188568,65.3
313,630.1712568000002,68.14
314,630.3236568000001,70.98
315,630.4760568,72.459
316,630.6284568,71.215
317,630.7808568000002,69.971
318,630.9332568000001,68.975
319,631.0856568,69.959
320,631.2380568,73.046
321,631.3904568000002,75.393
322,631.5428568000001,78.481
323,631.6952568,78.846
324,631.8476568,78.716
325,632.0000568000002,79.205
326,632.1524568000001,80.189
327,632.3048568,81.049
328,632.4572568,81.909
329,632.6096568000002,82.769
330,632.7620568000001,84.372
331,632.9144568,86.222
332,633.0668568,87.953
333,633.2192568000002,89.822
334,633.3716568000001,90.315
335,633.5240568,85.826
336,633.6764568,79.756
337,633.8288568000002,78.388
338,633.9812568000001,80.486
339,634.1336568,82.584
340,634.2860568,83.691
341,634.4384568000002,83.314
342,634.5908568000001,83.803
343,634.7432568,84.787
344,634.8956568,85.399
345,635.0480568000002,84.527
346,635.2004568000001,84.644
347,635.3528568,86.247
348,635.5052568,88.478
349,635.6576568000002,89.222
350,635.8100568000001,86.352
351,635.9624568,85.108
352,636.1148568,85.473
353,636.2672568000002,85.467
354,636.4196568000001,81.872
355,636.5720568,77.658
356,636.7244568,76.29
357,636.8768568000002,75.665
358,637.0292568000001,75.164
359,637.1816568,73.671
360,637.3340568,71.066
361,637.4864568000002,67.595
362,637.6388568000001,64.743
363,637.7912568,64.737
364,637.9436568,65.226
365,638.0960568000002,65.714
366,638.2484568000001,63.728
367,638.4008568,60.033
368,638.5532568,58.556
369,638.7056568000002,62.103
370,638.8580568000001,65.807
371,639.0104568,75.206
372,639.1628568,84.643
373,639.3152568000002,85.263
374,639.4676568000001,84.764
375,639.6200568,82.773
376,639.7724568,82.397
377,639.9248568000002,83.888
378,640.0772568000001,84.634
379,640.2296568,84.508
380,640.3820568,83.883
381,640.5344568000002,88.74
382,640.6868568000001,93.819
383,640.8392568,93.816
384,640.9916568,89.604
385,641.1440568000002,86.246
386,641.2964568000001,86.74
387,641.4488568,90.207
388,641.6012568,93.295
389,641.7536568000002,93.288
390,641.9060568000001,90.065
391,642.0584568,85.963
392,642.2108568,85.709
393,642.3632568000002,86.699
394,642.5156568000001,87.563
395,642.6680568,88.301
396,642.8204568,89.161
397,642.9728568000002,90.022
398,643.1252568000001,90.015
399,643.2776568,87.656
400,643.4300568,88.642
401,643.5824568000002,89.502
402,643.7348568000001,82.311
403,643.8872568,79.335
404,644.0396568,84.903
405,644.1920568000002,89.23
406,644.3444568000001,96.656
407,644.4968568,105.118
408,644.6492568,103.868
409,644.8016568000002,99.876
410,644.9540568000001,96.649
411,645.1064568,99.752
412,645.2588568,103.736
413,645.4112568000002,106.721
414,645.5636568000001,105.225
415,645.7160568,100.746
416,645.8684568,95.021
417,646.0208568000002,90.41
418,646.1732568000001,85.807
419,646.3256568,81.345
420,646.4780568,80.101
421,646.6304568000002,80.219
422,646.7828568000001,81.45
423,646.9352568,82.557
424,647.0876568,82.551
425,647.2400568000002,79.951
426,647.3924568000001,76.361
427,647.5448568,73.639
428,647.6972568,73.144
429,647.8496568000002,75.124
430,648.0020568000001,78.713
